fecha,trabajo_realizado,calle,tipo,referencia,barrio,insumos_1,cantidad_1,insumos_2,cantidad_2,insumos_3,cantidad_3,insumos_4,cantidad_4
25/02/25,"colocacion de columna, antibandalos y recambio de colector",null,null,null,2 de abril,lamparas 80w,1,cable subterraneo,null,null,null,null,null
25/02/25,colocacion de lampara,tucuman,null,tucuman y andres chazarreta,null,lamparas 80w,1,null,null,null,null,null,null
25/02/25,poste quebrado y cables cortados,matienzo,null,null,null,null,null,null,null,null,null,null,null
25/02/25,cambiar llave y tomacorrientes,null,null,jardin ositos cariñositos,null,toma corriente,1,llave termica,1,null,null,null,null
25/02/25,trabajo en taller,null,null,taller propio,null,null,null,null,null,null,null,null,null
26/02/25,cambio de flotante en bomba,null,null,loaj,null,null,null,null,null,null,null,null,null
26/02/25,colocacion de lampara,null,null,bomba de loaj,null,lamparas 100w,1,null,null,null,null,null,null
26/02/25,colocacion de lampara,namuncura,null,cruzando ruta 34,null,lamparas 100w,1,null,null,null,null,null,null
26/02/25,colocacion de lampara,uruguay,null,pasaje uruguay(frente al tanque de agua),null,lamparas 100w,1,null,null,null,null,null,null
26/02/25,colocacion de lampara,matienzo,null,matienzo y colon,norte,lamparas 100w,1,null,null,null,null,null,null
26/02/25,colocacion de lampara,peru,null,pasaje pru,maipu,lamparas 100w,2,null,null,null,null,null,null
26/02/25,mantenimiento de alumbrado,null,null,salita de primeros auxilios,la loma,null,null,null,null,null,null,null,null
26/02/25,colocacion de lampara,null,null,estela gorosito,la loma,lamparas 100w,1,null,null,null,null,null,null
27/02/25,retiro de luminarias,null,null,predio ex pista coronel,null,lamparas 150w,4,null,null,null,null,null,null
27/02/25,"colocacion de llaves, lampara y tomacorriente",null,null,jardin ositos cariñositos,null,lamparas 80w,1,null,null,null,null,null,null
27/02/25,colocacion de lampara,alem,null,alem y almirante brown,null,lamparas 80w,1,null,null,null,null,null,null
27/02/25,colocacion de drisa,null,null,escuela de las americas,las americas,null,null,null,null,null,null,null,null
