fecha,trabajo_realizado,calle,tipo,referencia,barrio,insumos_1,cantidad_1,insumos_2,cantidad_2,insumos_3,cantidad_3,insumos_4,cantidad_4
23/12/24,retiro de insumos,av san martin,publico,municipalidad,centro,lampara 80w,10,null,null,null,null,null,null
24/12/24,colocacion de lampara,null,null,cementerio,null,lampara de 80w,1,null,null,null,null,null,null
24/12/24,colocacion de lampara,alfonsin,null,alfonsin y calle publica(cic),null,lamparas 80w,1,null,null,null,null,null,null
26/12/24,colocacion de lampara,mar argentino,publico,entre alfonsin y santa fe,null,lamparas 100w,1,null,null,null,null,null,null
26/12/24,colocacion de lampara,almirante brown,null,entre bolivia y rivadavia,null,lampara de 80w,1,null,null,null,null,null,null
26/12/24,timer corregido de comando,san martin,publico,plaza principal,null,null,null,null,null,null,null,null,null
26/12/24,colocacion de lampara,pasaje santos vega,null,pasaje santos vega,aguila,lampara de 80w,1,null,null,null,null,null,null
26/12/24,cambio de conexion de llave de luz,null,publico,capilla,2 de abril,null,null,null,null,null,null,null,null
27/12/24,colocacion de lampara,dorrego,null,pasaje santos vega y dorrego,null,lampara de 80w,1,null,null,null,null,null,null
27/12/24,colocacion de lampara,uriarte,null,casi alfonsin frente a maderera el aleman,null,lampara de 80w,1,null,null,null,null,null,null
27/12/24,colocacion de lampara,cordoba,publico,cordoba y heroes de malvinas,null,lampara 80w,2,null,null,null,null,null,null
27/12/24,colocacion de lampara,corrientes,publico,corrientes y andres chazarreta,null,lampara de 80w,2,null,null,null,null,null,null
28/12/24,colocacion de lampara,sargento cabral,publico,dorrego y 12 de octubre,null,lampara de 80w,1,null,null,null,null,null,null
28/12/24,empalme de cables de semaforo,san martin,null,san martin y santiago del estero,null,null,null,null,null,null,null,null,null
29/12/24,colocacion de lampara,null,null,frente a nicolosi,null,lamparas 100w,4,null,null,null,null,null,null
30/12/24,retiro de insumo,san martin,null,municipalidad,centro,timer comando,2,null,null,null,null,null,null
31/12/24,colocacion de lampara,garcia mendez,publico,garcia mendez y belgrano,null,lampara 80w,1,null,null,null,null,null,null
01/01/25,colocacion de lampara,rivadavia,null,entre colon y 25 de mayo,null,lampara de 80w,2,null,null,null,null,null,null
01/01/25,colocacion y retiro de cable,null,privado,predio fiesta del trigo,null,antivandalos,3,lampara de 80w,5,toma corriente,1,null,null
01/01/25,colocacion de lampara,uriarte ,null,uriarte y santa fe ,2 de abril,lamparas 80w,1,null,null,null,null,null,null
01/01/25,colocacion de lampara,pasaje America,null,null,12 de octubre,lampara 80w,1,null,null,null,null,null,null
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,colocacion reflectores,,,,,,,,,,,,
,retiro adornos y luminarias,,,,,,,,,,,,
,colocacion de lampara,,,,,,,,,,,,
,colocacion,,,,,,,,,,,,
,armado de jaula antibandalos,,,,,,,,,,,,
,retiro de insumo,,,,,,,,,,,,
,colocacion de poste y lampara,,,,,,,,,,,,
,reconexion,,,,,,,,,,,,
,extension,,,,,,,,,,,,
,colocacion de brazo y lampara,,,,,,,,,,,,
,retiro de columna ,,,,,,,,,,,,
,timer corregido de comando,,,,,,,,,,,,
,colocacion de bajada de obra,,,,,,,,,,,,
,armado de columna,,,,,,,,,,,,
,trabajos varios,,,,,,,,,,,,
,solucion de cortocircuito,,,,,,,,,,,,
,cambio de contactor en comando,,,,,,,,,,,,
,luminarias,,,,,,,,,,,,
,poda de arbol,,,,,,,,,,,,
,cambio de fotocelula,,,,,,,,,,,,
,empalme de cables de semaforo,,,,,,,,,,,,
,limpieza aire acondicionado,,,,,,,,,,,,
,arreglo de toma corriente,,,,,,,,,,,,
,colocacion de lampara y reconexion,,,,,,,,,,,,
,bajada para obra,,,,,,,,,,,,
,cambio de caja en comando,,,,,,,,,,,,
,reparacion de semaforo,,,,,,,,,,,,
,llave termica baja,,,,,,,,,,,,
,acomodar cable de semaforo,,,,,,,,,,,,
,puente cortado,,,,,,,,,,,,
,"colocacion de columna, antibandalos y recambio de colector",,,,,,,,,,,,
,poste quebrado y cables cortados,,,,,,,,,,,,
,cambiar llave y tomacorrientes,,,,,,,,,,,,
,trabajo en taller,,,,,,,,,,,,
,cambio de flotante en bomba,,,,,,,,,,,,
,mantenimiento de alumbrado,,,,,,,,,,,,
,retiro de luminarias,,,,,,,,,,,,
,"colocacion de llaves, lampara y tomacorriente",,,,,,,,,,,,
,colocacion de drisa,,,,,,,,,,,,
,cambio de timer de comando,,,,,,,,,,,,
,conexion de medidor,,,,,,,,,,,,
,reconexion ,,,,,,,,,,,,
,reparacion maquina hormigonera,,,,,,,,,,,,
,reemplazo de cable,,,,,,,,,,,,
,bajada de toma corriente,,,,,,,,,,,,
,arreglo de ventilador y colocacion de plafon,,,,,,,,,,,,
,morseto quemado,,,,,,,,,,,,
,retiro de insumos,,,,,,,,,,,,
,cambio de fotocelula en comando,,,,,,,,,,,,
,cambio de tomacorriente,,,,,,,,,,,,
,colocacion de fotocelula y cable,,,,,,,,,,,,
,bajada a tierra,,,,,,,,,,,,
,reacomodo de poste y colocacion de antibandalos,,,,,,,,,,,,
,cambio de horario de un timer,,,,,,,,,,,,
,cambio de faroles modificados,,,,,,,,,,,,
,"colocacion de lampara, antibandalo y poda",,,,,,,,,,,,
,luminaria descompuesta,,,,,,,,,,,,
,colocacion de lamparas,,,,,,,,,,,,
,empalme cable subterraneo,,,,,,,,,,,,
,"colocacion de antibandalo, lampara y cable de aluminio",,,,,,,,,,,,
,tutor en poste,,,,,,,,,,,,
,reconexion y colocacion de lampara,,,,,,,,,,,,
,reclamo de edese,,,,,,,,,,,,
,cambio de conexion de llave de luz,,,,,,,,,,,,
,cambio de lampara,,,,,,,,,,,,
,retiro de columna con dos artefactos,,,,,,,,,,,,
,cambio de lampara y cable,,,,,,,,,,,,
,colocacion de cables y antibandalos,,,,,,,,,,,,
,reconexion luminaria,,,,,,,,,,,,
,reconexion cable cortado,,,,,,,,,,,,
,colocacion de antibandalo y lampara,,,,,,,,,,,,
,colocacion de cable subterraneo,,,,,,,,,,,,
,reactivacion de lamparas,,,,,,,,,,,,
,reclamo universidad,,,,,,,,,,,,
,retiro lampara quemada,,,,,,,,,,,,
,colocacion drisa en mastil,,,,,,,,,,,,
,colocacion de antibandalos y lampara,,,,,,,,,,,,
,colocacion de focos internos,,,,,,,,,,,,
,activacion de comando nuevo,,,,,,,,,,,,
,colocacion de bandera provincial y fernandez,,,,,,,,,,,,
,colocacion de fotocelula  ,,,,,,,,,,,,
,trabajo en el peaje,,,,,,,,,,,,
,"colocacion de lampara, cables y parada de columna",,,,,,,,,,,,
,retiro de cable,,,,,,,,,,,,
,cambio de farola,,,,,,,,,,,,
,bajada de toma,,,,,,,,,,,,
,colocacion de foto celula y lampara,,,,,,,,,,,,
,extencion de alumbrado,,,,,,,,,,,,
,poda de planta ,,,,,,,,,,,,
,retiro de guirnalda,,,,,,,,,,,,
,parada de pilar trifasico,,,,,,,,,,,,
,reprogramacion de timer,,,,,,,,,,,,
,cambio de lugar de poste,,,,,,,,,,,,
,reparaciones varias,,,,,,,,,,,,
,reparacion de comando,,,,,,,,,,,,
,conexion,,,,,,,,,,,,
,arreglo de poste,,,,,,,,,,,,
,colocacion de guirnalda con foco y bajada a tierra,,,,,,,,,,,,
,colocacion de ventilador,,,,,,,,,,,,
,cambio de 3 llaves punto y tdm,,,,,,,,,,,,
,extension ,,,,,,,,,,,,
,reparacion de luminaria y antivandalos,,,,,,,,,,,,
,cambio de llave,,,,,,,,,,,,
,revision de cable robado,,,,,,,,,,,,
,revision de instalacion electrica,,,,,,,,,,,,
,bajada para bomba de agua,,,,,,,,,,,,
,bajada de electricidad,,,,,,,,,,,,
,arreglo de cable caido del alumbrado,,,,,,,,,,,,
,alumbrado,,,,,,,,,,,,
,colocacion poste,,,,,,,,,,,,
,retiro de mangueras y adornos,,,,,,,,,,,,
,instalacion,,,,,,,,,,,,
,reparacion,,,,,,,,,,,,
,colocacion y retiro de cable,,,,,,,,,,,,
,extension de alumbrado,,,,,,,,,,,,
,retiro de tomas,,,,,,,,,,,,
,presta de luminaria,,,,,,,,,,,,
,traslado,,,,,,,,,,,,
,retiro luces navideñas,,,,,,,,,,,,
,retiro de poste de alumbrado,,,,,,,,,,,,
,cambio de contactor,,,,,,,,,,,,
,colocacion de lampara y reconexiones,,,,,,,,,,,,
,corte de cables sueltos,,,,,,,,,,,,
,revision de cable cortado,,,,,,,,,,,,
,retiro de reflectores y palos,,,,,,,,,,,,
, retiro de reflectores palos y cables,,,,,,,,,,,,
,colocaion de lampara,,,,,,,,,,,,
,colocacion de lampara y reubicaciones,,,,,,,,,,,,
,recambio y colocacion de lampara,,,,,,,,,,,,
,retiro de luces navideñas,,,,,,,,,,,,
,retiro mangueras navideñas,,,,,,,,,,,,
,cambio de focos,,,,,,,,,,,,
