fecha,trabajo_realizado,calle,categoria,referencia,barrio,insumos_1,cantidad_1,fechasarregladas,mes
2025-02-21,llave termica baja,desconocido,Trabajos generales / Varios,escuela buey muerto,desconocido,no se usaron insumos,0,2025-02-21,2025-02
2025-02-24,retiro de insumo,san martin,Retiro de insumos varios,municipalidad,centro,lampara 100w,11,2025-02-24,2025-02
2025-02-24,acomodar cable de semaforo,jesus fernandez,Trabajos generales / Varios,jesus fernandez y libertad,desconocido,no se usaron insumos,0,2025-02-24,2025-02
2025-02-24,colocacion de lampara,remedios de escalada,Instalaciónes Varias,entre santiago del estero y 27 de abril,desconocido,lampara 100w,1,2025-02-24,2025-02
2025-02-24,colocacion de lampara,remedios de escalada,Instalaciónes Varias,entre santiago del estero y 27 de abril,desconocido,lampara 100w,1,2025-02-24,2025-02
2025-02-24,colocacion de lampara,almirante brown,Instalaciónes Varias,entre alfonsin y santa fe,desconocido,lampara 100w,2,2025-02-24,2025-02
2025-02-24,colocacion de lampara,almirante brown,Instalaciónes Varias,entre santa fe y cordoba,desconocido,lampara 100w,1,2025-02-24,2025-02
2025-02-24,puente cortado,martin fierro,Trabajos generales / Varios,martin fierro y san martin,desconocido,no se usaron insumos,0,2025-02-24,2025-02
2025-02-24,armado de jaula antibandalos,desconocido,Trabajos generales / Varios,taller propio,desconocido,no se usaron insumos,0,2025-02-24,2025-02
2025-02-25,poda de arbol,moreno,Trabajos generales / Varios,san martin y libertad,desconocido,no se usaron insumos,0,2025-02-25,2025-02
2025-02-25,"colocacion de columna, antibandalos y recambio de colector",desconocido,Reemplazo de insumos electricos,desconocido,2 de abril,lampara 80w,1,2025-02-25,2025-02
2025-02-25,colocacion de lampara,tucuman,Instalaciónes Varias,tucuman y andres chazarreta,desconocido,lampara 80w,1,2025-02-25,2025-02
2025-02-25,poste quebrado y cables cortados,matienzo,Trabajos generales / Varios,desconocido,desconocido,no se usaron insumos,0,2025-02-25,2025-02
2025-02-25,cambiar llave y tomacorrientes,desconocido,Reemplazo de insumos electricos,jardin ositos cariñositos,desconocido,toma corriente,1,2025-02-25,2025-02
2025-02-25,trabajo en taller,desconocido,Trabajos generales / Varios,taller propio,desconocido,no se usaron insumos,0,2025-02-25,2025-02
2025-02-26,cambio de flotante en bomba,desconocido,Reemplazo de insumos electricos,loaj,desconocido,no se usaron insumos,0,2025-02-26,2025-02
2025-02-26,colocacion de lampara,desconocido,Instalaciónes Varias,bomba de loaj,desconocido,lampara 100w,1,2025-02-26,2025-02
2025-02-26,colocacion de lampara,namuncura,Instalaciónes Varias,cruzando ruta 34,desconocido,lampara 100w,1,2025-02-26,2025-02
2025-02-26,colocacion de lampara,uruguay,Instalaciónes Varias,pasaje uruguay(frente al tanque de agua),desconocido,lampara 100w,1,2025-02-26,2025-02
2025-02-26,colocacion de lampara,matienzo,Instalaciónes Varias,matienzo y colon,norte,lampara 100w,1,2025-02-26,2025-02
2025-02-26,colocacion de lampara,peru,Instalaciónes Varias,pasaje pru,maipu,lampara 100w,2,2025-02-26,2025-02
2025-02-26,mantenimiento de alumbrado,desconocido,Reparación / Mantenimiento,salita de primeros auxilios,la loma,no se usaron insumos,0,2025-02-26,2025-02
2025-02-26,colocacion de lampara,desconocido,Instalaciónes Varias,estela gorosito,la loma,lampara 100w,1,2025-02-26,2025-02
2025-02-27,retiro de luminarias,desconocido,Reparación / Mantenimiento,predio ex pista coronel,desconocido,lampara 150w,4,2025-02-27,2025-02
2025-02-27,"colocacion de llaves, lampara y tomacorriente",desconocido,Instalaciónes Varias,jardin ositos cariñositos,desconocido,lampara 80w,1,2025-02-27,2025-02
2025-02-27,colocacion de lampara,alem,Instalaciónes Varias,alem y almirante brown,desconocido,lampara 80w,1,2025-02-27,2025-02
2025-02-27,colocacion de drisa,desconocido,Instalaciónes Varias,escuela de las americas,las americas,no se usaron insumos,0,2025-02-27,2025-02
2025-02-27,colocacion de lampara,alfonsin,Instalaciónes Varias,alfonsin y calle publica(cic),desconocido,lampara 80w,1,2025-02-27,2025-02
2025-02-27,trabajo en taller,desconocido,Trabajos generales / Varios,taller propio,desconocido,no se usaron insumos,0,2025-02-27,2025-02
2025-02-28,colocacion de lampara,rafael ruiz,Instalaciónes Varias,rafael ruiz y belgrano,desconocido,lampara 100w,2,2025-02-28,2025-02
2025-02-28,trabajos varios,desconocido,Trabajos generales / Varios,taller propio,desconocido,no se usaron insumos,0,2025-02-28,2025-02
2025-05-03,retiro de insumo,san martin,Retiro de insumos varios,municipalidad,centro,timer comando,2,2025-05-03,2025-05
2025-05-03,reconexion,desconocido,Conexión / Reconexion,escuela nueva del 2 de abril,2 de abril,no se usaron insumos,0,2025-05-03,2025-05
2025-05-03,cambio de timer de comando,san martin,Cambio de Timer / Programación,san martin y dorrego,desconocido,timer comando,1,2025-05-03,2025-05
2025-05-03,colocacion de lampara,20 de junio,Instalaciónes Varias,20 de junio y moreno,independiente,lampara 100w,1,2025-05-03,2025-05
2025-05-03,colocacion de lampara,inmigrantes,Instalaciónes Varias,entre 20 de junio y congreso,independiente,lampara 100w,1,2025-05-03,2025-05
2025-05-03,timer corregido de comando,desconocido,Cambio de Timer / Programación,emeta,desconocido,no se usaron insumos,0,2025-05-03,2025-05
2025-05-03,timer corregido de comando,desconocido,Cambio de Timer / Programación,desconocido,libertad,no se usaron insumos,0,2025-05-03,2025-05
2024-06-02,conexion de medidor,desconocido,Conexión / Reconexion,escuela nueva del 2 de abril,2 de abril,no se usaron insumos,0,2024-06-02,2024-06
2024-06-02,colocacion de brazo y lampara,desconocido,Instalaciónes Varias,cruzando la ruta por nicolosi,desconocido,lampara 100w,1,2024-06-02,2024-06
2024-06-02,colocacion de lampara,nestor diaz ,Instalaciónes Varias,nestor diaz y lascano,belgrano,lampara 100w,1,2024-06-02,2024-06
2024-06-02,colocacion de lampara,mendez,Instalaciónes Varias,mendez y lascano (flia ibarra),belgrano,lampara 100w,1,2024-06-02,2024-06
2024-06-02,colocacion de lampara,francisco duran,Instalaciónes Varias,francisco duran y belgrano,belgrano,lampara 100w,1,2024-06-02,2024-06
2024-06-02,colocacion de lampara,nestor diaz ,Instalaciónes Varias,nestor diaz y belgrano,belgrano,lampara 100w,1,2024-06-02,2024-06
2024-06-02,reconexion ,almirante brown,Conexión / Reconexion,frente a panaderia buen gusto,desconocido,no se usaron insumos,0,2024-06-02,2024-06
2024-06-02,reparacion maquina hormigonera,av.del agro,Reparación / Mantenimiento,desconocido,desconocido,no se usaron insumos,0,2024-06-02,2024-06
2024-06-02,reemplazo de cable,desconocido,Trabajos generales / Varios,escuela paul harris,desconocido,no se usaron insumos,0,2024-06-02,2024-06
2024-06-02,bajada de toma corriente,san martin,Bajada de energía,desconocido,centro,no se usaron insumos,0,2024-06-02,2024-06
2024-06-02,arreglo de ventilador y colocacion de plafon,san martin,Reparación / Mantenimiento,municipalidad,centro,no se usaron insumos,0,2024-06-02,2024-06
2024-07-02,timer corregido de comando,desconocido,Cambio de Timer / Programación,desconocido,villa elisa,no se usaron insumos,0,2024-07-02,2024-07
2024-07-02,colocacion de lampara,uriarte,Instalaciónes Varias,uriarte y tucuman,villa elisa,lampara 100w,1,2024-07-02,2024-07
2024-07-02,colocacion de lampara,hipolito irigoyen,Instalaciónes Varias,desconocido,malvinas,lampara 100w,1,2024-07-02,2024-07
2024-07-02,colocacion de lampara,godoy cruz,Instalaciónes Varias,entre saavedra e inmigrantes,102 viviendas,lampara 100w,2,2024-07-02,2024-07
2024-07-02,colocacion de lampara,desconocido,Instalaciónes Varias,pasaje junto a las vias ,libertad,lampara 100w,1,2024-07-02,2024-07
2024-07-02,colocacion de lampara,dorrego,Instalaciónes Varias,entre san martin y libertad,desconocido,lampara 100w,1,2024-07-02,2024-07
2024-07-02,colocacion de lampara,jesus fernandez,Instalaciónes Varias,frente a la policia,desconocido,lampara 100w,1,2024-07-02,2024-07
2024-07-02,colocacion de lampara,jesus fernandez,Instalaciónes Varias,jesus fernandez y sargento cabral,desconocido,lampara 100w,1,2024-07-02,2024-07
2024-07-02,colocacion de lampara,independencia,Instalaciónes Varias,independencia y 20 junio,desconocido,lampara 100w,1,2024-07-02,2024-07
2024-07-02,morseto quemado,desconocido,Trabajos generales / Varios,desconocido,bicentenario,no se usaron insumos,0,2024-07-02,2024-07
2024-07-02,colocacion de lampara,libertad,Instalaciónes Varias,libertad y garcia mendez,bicentenario,lampara 100w,2,2024-07-02,2024-07
2024-07-02,colocacion de lampara,9 de julio,Instalaciónes Varias,al lado del profesorado,desconocido,lampara 100w,1,2024-07-02,2024-07
2024-07-02,colocacion de brazo y lampara,calle publica,Instalaciónes Varias,entre alfonsin y balcarce detras de paul harris,desconocido,lampara 100w,2,2024-07-02,2024-07
